2017-11-11 14:51:19 	 [ WARN] 	 <model_user.go:155>  	 sql: no rows in result set
2017-11-11 14:51:19 	 [ERROR] 	 <common.go:29>  	 用户名错误%!(EXTRA *http.Request=&{POST /user/login HTTP/1.1 1 1 map[Cache-Control:[no-cache] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Postman-Token:[a7429e29-8e9a-e705-89a4-90b0babc5c79] Content-Type:[application/json] Accept-Encoding:[gzip, deflate, br] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Content-Length:[48] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Accept:[*/*] Connection:[keep-alive]] 0xc4201fa500 <nil> 48 [] false localhost:8081 map[] map[] <nil> map[] [::1]:54927 /user/login <nil> <nil> <nil> 0xc4201fa540})
2017-11-11 14:51:19 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/login
2017-11-11 14:51:19 	 [ WARN] 	 <model_user.go:155>  	 sql: no rows in result set
2017-11-11 14:51:19 	 [ERROR] 	 <common.go:29>  	 用户名错误%!(EXTRA *http.Request=&{POST /user/login HTTP/1.1 1 1 map[Accept:[*/*] Connection:[keep-alive] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Postman-Token:[760a012d-4cd7-324e-4cb2-841a4fcb16dd] Content-Type:[application/json] Content-Length:[48] Cache-Control:[no-cache] Accept-Encoding:[gzip, deflate, br] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6]] 0xc420216280 <nil> 48 [] false localhost:8081 map[] map[] <nil> map[] [::1]:54927 /user/login <nil> <nil> <nil> 0xc4202162c0})
2017-11-11 14:51:19 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/login
2017-11-11 14:51:19 	 [ WARN] 	 <model_user.go:155>  	 sql: no rows in result set
2017-11-11 14:51:19 	 [ERROR] 	 <common.go:29>  	 用户名错误%!(EXTRA *http.Request=&{POST /user/login HTTP/1.1 1 1 map[Content-Length:[48] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Postman-Token:[baaa2947-4613-404d-4617-9584a7825930] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Connection:[keep-alive] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Cache-Control:[no-cache] Content-Type:[application/json] Accept:[*/*] Accept-Encoding:[gzip, deflate, br]] 0xc420216380 <nil> 48 [] false localhost:8081 map[] map[] <nil> map[] [::1]:54927 /user/login <nil> <nil> <nil> 0xc4202163c0})
2017-11-11 14:51:24 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/login
2017-11-11 14:51:24 	 [ERROR] 	 <common.go:29>  	 密码错误%!(EXTRA *http.Request=&{POST /user/login HTTP/1.1 1 1 map[User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Cache-Control:[no-cache] Content-Type:[application/json] Accept:[*/*] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Connection:[keep-alive] Content-Length:[51] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Postman-Token:[9d9ae5e4-07d1-4de6-69de-40887804585a] Accept-Encoding:[gzip, deflate, br]] 0xc420212140 <nil> 51 [] false localhost:8081 map[] map[] <nil> map[] [::1]:54927 /user/login <nil> <nil> <nil> 0xc420212180})
2017-11-11 14:51:28 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/login
2017-11-11 14:51:28 	 [ERROR] 	 <common.go:29>  	 密码错误%!(EXTRA *http.Request=&{POST /user/login HTTP/1.1 1 1 map[Cache-Control:[no-cache] Content-Type:[application/json] Accept-Encoding:[gzip, deflate, br] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Connection:[keep-alive] Content-Length:[49] Accept:[*/*] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Postman-Token:[37f4c990-1c82-fa8e-5c47-bb58b02a77bc]] 0xc4201fa600 <nil> 49 [] false localhost:8081 map[] map[] <nil> map[] [::1]:54927 /user/login <nil> <nil> <nil> 0xc4201fa640})
2017-11-11 14:51:40 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/login
2017-11-11 14:51:40 	 [ERROR] 	 <common.go:29>  	 密码错误%!(EXTRA *http.Request=&{POST /user/login HTTP/1.1 1 1 map[Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Content-Length:[49] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Cache-Control:[no-cache] Postman-Token:[8872acc5-bb19-469d-002d-93707a938ca5] Content-Type:[application/json] Accept-Encoding:[gzip, deflate, br] Connection:[keep-alive] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Accept:[*/*]] 0xc420216480 <nil> 49 [] false localhost:8081 map[] map[] <nil> map[] [::1]:54927 /user/login <nil> <nil> <nil> 0xc4202164c0})
2017-11-11 14:52:11 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/login
2017-11-11 14:52:11 	 [ERROR] 	 <common.go:29>  	 密码错误%!(EXTRA *http.Request=&{POST /user/login HTTP/1.1 1 1 map[Accept:[*/*] Content-Length:[49] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Cache-Control:[no-cache] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Postman-Token:[3f08f739-776e-1c7e-73af-99f46e62c9f5] Connection:[keep-alive] Content-Type:[application/json] Accept-Encoding:[gzip, deflate, br] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6]] 0xc4201c2ac0 <nil> 49 [] false localhost:8081 map[] map[] <nil> map[] [::1]:54938 /user/login <nil> <nil> <nil> 0xc4201c2b00})
2017-11-11 14:53:43 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 14:53:43 	 [ERROR] 	 <common.go:29>  	 密码不符合要求%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Postman-Token:[f3b4b4e2-1f2d-2698-477c-d25cd7b11e82] Content-Type:[application/json] Connection:[keep-alive] Content-Length:[132] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Cache-Control:[no-cache] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Accept:[*/*] Accept-Encoding:[gzip, deflate, br]] 0xc42018e600 <nil> 132 [] false localhost:8081 map[] map[] <nil> map[] [::1]:54938 /user/registeruser <nil> <nil> <nil> 0xc42018e640})
2017-11-11 14:55:17 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 14:55:17 	 [ WARN] 	 <model_user.go:96>  	 CheckPhoneValid：该手机号已被注册%!(EXTRA string=Jack011)
2017-11-11 14:55:17 	 [ERROR] 	 <common.go:29>  	 该手机号已被注册%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Content-Length:[132] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Cache-Control:[no-cache] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Accept-Encoding:[gzip, deflate, br] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Connection:[keep-alive] Postman-Token:[6b2311a8-d9d9-995a-de68-d23053963f8a] Content-Type:[application/json] Accept:[*/*]] 0xc42018ef80 <nil> 132 [] false localhost:8081 map[] map[] <nil> map[] [::1]:54962 /user/registeruser <nil> <nil> <nil> 0xc42018efc0})
2017-11-11 14:55:22 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 14:55:30 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/login
2017-11-11 15:03:11 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 15:03:11 	 [ERROR] 	 <common.go:29>  	 Param invalid%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Connection:[keep-alive] Postman-Token:[cdb223e2-193d-a0b0-b6bf-b221a64961b5] Accept:[*/*] Accept-Encoding:[gzip, deflate, br] Content-Length:[132] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Cache-Control:[no-cache] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Content-Type:[application/json]] 0xc4201be9c0 <nil> 132 [] false localhost:8081 map[] map[] <nil> map[] [::1]:55134 /user/registeruser <nil> <nil> <nil> 0xc4201bea00})
2017-11-11 15:03:11 	 [ WARN] 	 <model_user.go:82>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack012)
2017-11-11 15:03:11 	 [ERROR] 	 <common.go:29>  	 该用户名已被注册%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Accept-Encoding:[gzip, deflate, br] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6] Connection:[keep-alive] Postman-Token:[cdb223e2-193d-a0b0-b6bf-b221a64961b5] Accept:[*/*] Content-Type:[application/json] Content-Length:[132] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Cache-Control:[no-cache] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop]] 0xc4201be9c0 <nil> 132 [] false localhost:8081 map[] map[] <nil> map[] [::1]:55134 /user/registeruser <nil> <nil> <nil> 0xc4201bea00})
2017-11-11 15:03:26 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
